Underlying,Date,T,r,E,Cobs,volatility,Delta,Vega,Gamma
0.33206,2023-10-17,0.1626984126984127,0.0005,0.34,0.00747,0.20304824609666208,0.4026192297564838,0.05183416212391658,14.229852460681462
0.33011,2023-10-18,0.15873015873015872,0.0005,0.34,0.00725,0.21633567550540186,0.3826688816137913,0.05018257168491466,13.41059224875609
0.33132,2023-10-19,0.15476190476190477,0.0005,0.34,0.00813,0.22717077047761416,0.4036835212037095,0.050475462251173255,13.0788175760895
0.32667,2023-10-20,0.15079365079365079,0.0005,0.34,0.0060999999999999995,0.2239974415229224,0.33890791807677445,0.046422907167227676,12.879165240256173
0.32932,2023-10-23,0.1388888888888889,0.0005,0.34,0.00645,0.22046536319391719,0.36447632322853274,0.046109229649290935,13.884932770594313
0.33053,2023-10-24,0.1349206349206349,0.0005,0.34,0.006849999999999999,0.22256766896226454,0.3806281612755631,0.0462502950800314,14.09783057912287
0.34067000000000003,2023-10-25,0.13095238095238096,0.0005,0.34,0.00975,0.19135808563030474,0.525514271446335,0.04908075827220239,16.876534284600773
0.32788999999999996,2023-10-26,0.12698412698412698,0.0005,0.34,0.004,0.18431764145144677,0.3021015710155672,0.040753493323679085,16.19541780000523
0.32981,2023-10-27,0.12301587301587301,0.0005,0.34,0.00429,0.17984289722801236,0.32639429776652024,0.041706459660904686,17.33090505262294
0.33731,2023-10-30,0.1111111111111111,0.0005,0.34,0.00675,0.17805324412709808,0.4588929855040671,0.04461740685590782,19.821591015358784
0.33811,2023-10-31,0.10714285714285714,0.0005,0.34,0.006549999999999999,0.1682718331617669,0.4710256378566095,0.04403543208423062,21.3654272172848
0.34607,2023-11-01,0.10317460317460317,0.0005,0.34,0.01076,0.16648077205836123,0.6400577294003734,0.041584794308241566,20.21481463507912
0.34832,2023-11-02,0.0992063492063492,0.0005,0.34,0.0116,0.1529368208998498,0.7009024431640616,0.03809347815371698,20.69389677959068
0.3528,2023-11-03,0.09523809523809523,0.0005,0.34,0.01495,0.15678045520379083,0.7849393243479944,0.03181784439989425,17.120284553728816
0.35652999999999996,2023-11-06,0.08333333333333333,0.0005,0.34,0.01764,0.15254809156588267,0.864549184430236,0.02239725960563948,13.86044560472914
0.36052999999999996,2023-11-07,0.07936507936507936,0.0005,0.34,0.021,0.14302735506001102,0.9300545908197478,0.013629115631023737,9.23711385400155
0.36319999999999997,2023-11-08,0.07539682539682539,0.0005,0.34,0.02352,0.14753140436462137,0.9505914677577498,0.010188441711569973,6.943501741943268
0.36069,2023-11-09,0.07142857142857142,0.0005,0.34,0.0209,0.1273676190771347,0.9602379732139227,0.008266825975824699,6.984568757208023
0.36967,2023-11-10,0.06746031746031746,0.0005,0.34,0.02975,0.14757847936557583,0.986194190337681,0.003385450401972956,2.4883795806104554
0.36668,2023-11-13,0.05555555555555555,0.0005,0.34,0.026920000000000003,0.18128394985918095,0.963272297024024,0.006947151795749399,5.130332264172419
0.36967,2023-11-15,0.047619047619047616,0.0005,0.34,0.030449999999999998,0.2735134659461768,0.9239290673347904,0.011543115244205104,6.485376572658976
0.37617,2023-11-16,0.04365079365079365,0.0005,0.34,0.0366,0.2895694037261348,0.9555882490015055,0.007370990385245518,4.121095837316623
0.32188,2023-08-21,0.3888888888888889,0.0005,0.345,0.00932,0.2247600915820546,0.3359924129746892,0.07321240549401377,8.084477483985346
