Underlying,Date,T,r,E,Pobs,volatility,Delta,Vega,Gamma
0.3237,2023-08-28,0.32142857142857145,0.0005,0.34,0.0235,0.1852340177646293,-0.660479242613068,0.06720752808298372,10.772767787759204
0.32841000000000004,2023-08-29,0.31746031746031744,0.0005,0.34,0.02105,0.19395818751454935,-0.6030588436473329,0.07134244047590027,10.742804010980976
0.32879,2023-08-30,0.3134920634920635,0.0005,0.34,0.020550000000000002,0.19135591976709682,-0.6017522247231171,0.07103961822779613,10.954560693030956
0.32776,2023-08-31,0.30952380952380953,0.0005,0.34,0.0202,0.1785347567140136,-0.6247196237186092,0.06916208085023481,11.6503590863958
0.32866,2023-09-01,0.3055555555555556,0.0005,0.34,0.01993,0.18381611864630903,-0.6108525489359927,0.06966099399703664,11.482122855006546
0.33355,2023-09-05,0.2896825396825397,0.0005,0.34,0.01695,0.18704068845249933,-0.5550700405513955,0.07093619882706673,11.767592236507562
0.33288,2023-09-06,0.2857142857142857,0.0005,0.34,0.0175,0.19070277388689968,-0.5616876343421092,0.07013422207906006,11.616240977086896
0.32991000000000004,2023-09-07,0.28174603174603174,0.0005,0.34,0.01805,0.17472252796661028,-0.6090879012058568,0.06723259372258507,12.548222008391376
0.33426999999999996,2023-09-08,0.2777777777777778,0.0005,0.34,0.0167,0.19303811311925176,-0.5457075603914012,0.06982215420924419,11.65354018491732
0.33794,2023-09-11,0.26587301587301587,0.0005,0.34,0.01423,0.18936843221490549,-0.5048093912450106,0.06951127213011606,12.089106166706864
0.33177,2023-09-12,0.2619047619047619,0.0005,0.34,0.01695,0.1813562235874468,-0.5855828866916002,0.06617122428914252,12.656659188527515
0.33606,2023-09-13,0.25793650793650796,0.0005,0.34,0.0146,0.18342919227092191,-0.5307496668029239,0.06788763200394346,12.705031456035588
0.3387,2023-09-14,0.25396825396825395,0.0005,0.34,0.013099999999999999,0.18272744930331408,-0.49767773716931707,0.06809380787271718,12.790690861928038
0.33022,2023-09-15,0.25,0.0005,0.34,0.0173,0.17657038456981272,-0.6121913849881663,0.0632472009803242,13.139435058619009
0.32906,2023-09-18,0.23809523809523808,0.0005,0.34,0.01868,0.1917472640661052,-0.6184840662953389,0.06120982019615203,12.38200660821797
0.32865,2023-09-19,0.23412698412698413,0.0005,0.34,0.0181,0.17946539522326688,-0.6354113880153193,0.059750334025266125,13.165606595404093
0.32077,2023-09-20,0.23015873015873015,0.0005,0.34,0.022510000000000002,0.1607508793127496,-0.7626619324622601,0.047548864464718045,12.490270719229805
0.31953,2023-09-21,0.2261904761904762,0.0005,0.34,0.0246,0.18637060580808906,-0.7437513566485431,0.04892268848568834,11.36672372984872
0.31701,2023-09-22,0.2222222222222222,0.0005,0.34,0.02583,0.1723569868509944,-0.7938060907421368,0.04260633723130063,11.069089445942485
0.31754000000000004,2023-09-25,0.21031746031746032,0.0005,0.34,0.027620000000000002,0.22575324119394974,-0.7281828678201241,0.04831170853475993,10.091278510492723
0.31214,2023-09-26,0.20634920634920634,0.0005,0.34,0.029920000000000002,0.1817087396835564,-0.8397022409467245,0.03454154673847853,9.455060451497623
0.31279,2023-09-27,0.20238095238095238,0.0005,0.34,0.03185,0.24527276165407355,-0.7579986852151112,0.043942246757049344,9.04810396326058
